recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
87,1,300 grams Jackfruit Ripe (Kathal) - chopped coarsely,300,gram,Jackfruit Ripe (Kathal),chopped coarsely,,auto
87,2,1 cup Water,1,cup,Water,,,auto
87,3,1 teaspoon Red Chilli powder,1,teaspoon,Red Chilli powder,,,auto
87,4,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
87,5,1/2 teaspoon Black pepper powder,1/2,teaspoon,Black pepper powder,,,auto
87,6,Salt - to taste,nan,,Salt,,,reviewed
87,7,1/2 cup Fresh coconut - grated,1/2,cup,Fresh coconut,grated,Fresh,auto
87,8,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),,,auto
87,9,1/2 cup Fresh coconut - pieces,1/2,cup,Fresh coconut,pieces,Fresh,reviewed
87,10,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
87,11,2 Dry Red Chillies,2,,Dry Red Chillies,,Dry,auto
87,12,6 cloves Garlic,6,clove,Garlic,,,auto
87,13,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
87,14,3 teaspoon Coconut Oil,3,teaspoon,Coconut Oil,,,auto
88,1,1 cup Rice ada,1,cup,Rice ada,,,auto
88,2,1 cup Jaggery - grated,1,cup,Jaggery,grated,,auto
88,3,1/2 cup Water,1/2,cup,Water,,,auto
88,4,1 cup Coconut milk - thick (1st extract),1,cup,Coconut milk,thick (1st extract),,reviewed
88,5,1-1/2 cups Coconut milk - (2nd & 3rd extract),1-1/2,cup,Coconut milk,2nd & 3rd extract,,reviewed
88,6,5 Cashew nuts,5,,Cashew nuts,,,auto
88,7,7 Raisins,7,,Raisins,,,auto
88,8,2 teaspoons Fresh coconut - slices,2,teaspoon,Fresh coconut,slices,Fresh,reviewed
88,9,1/2 teaspoon Cardamom Powder (Elaichi),1/2,teaspoon,Cardamom Powder (Elaichi),,,auto
88,10,Ghee - as required,nan,,Ghee,,,reviewed
89,1,300 grams Banana Stem - peeled and cut into dices,300,gram,Banana Stem,peeled and cut into dices,,reviewed
89,2,1/2 cup Fresh coconut - grated,1/2,cup,Fresh coconut,grated,Fresh,auto
89,3,2 Green Chillies,2,,Green Chillies,,,auto
89,4,2 sprig Curry leaves,2,sprig,Curry leaves,,,auto
89,5,Salt - to taste,nan,,Salt,,,reviewed
89,6,1 teaspoon Coconut Oil,1,teaspoon,Coconut Oil,,,auto
89,7,1/2 teaspoon Mustard seeds,1/2,teaspoon,Mustard seeds,,,auto
89,8,1 teaspoon White Urad Dal (Split),1,teaspoon,White Urad Dal (Split),,,auto
89,9,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
90,1,2 cup Rice flour,2,cup,Rice flour,,,auto
90,2,1/4 cup Fresh coconut - grated,1/4,cup,Fresh coconut,grated,Fresh,auto
90,3,1 cup Jackfruit Ripe (Kathal) - seeds removed and chopped,1,cup,Jackfruit Ripe (Kathal),seeds removed and chopped,,auto
90,4,5 tablespoon Sugar,5,tablespoon,Sugar,,,auto
90,5,1/4 teaspoon Salt,1/4,teaspoon,Salt,,,auto
90,6,2 Cardamom (Elaichi) Pods/Seeds - powdered,2,,Cardamom (Elaichi) Pods/Seeds,pods/seeds,,reviewed
91,1,300 grams Kaddu (Parangikai/ Pumpkin),300,gram,Kaddu (Parangikai/ Pumpkin),,,auto
91,2,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
91,3,2 teaspoons Jaggery,2,teaspoon,Jaggery,,,auto
91,4,Salt - to taste,nan,,Salt,,,reviewed
91,5,1/2 cup Fresh coconut - grated,1/2,cup,Fresh coconut,grated,Fresh,auto
91,6,1 Green Chilli,1,,Green Chilli,,,auto
91,7,1 inch Ginger - grated,1,inch,Ginger,grated,,reviewed
91,8,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
91,9,1 teaspoon Sunflower Oil,1,teaspoon,Sunflower Oil,,,auto
91,10,1/2 teaspoon Mustard seeds,1/2,teaspoon,Mustard seeds,,,auto
91,11,1/2 teaspoon White Urad Dal (Split),1/2,teaspoon,White Urad Dal (Split),,,auto
91,12,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
92,1,2 Tapioca root,2,,Tapioca root,,,auto
92,2,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
92,3,1 cup Shallots - chopped,1,cup,Shallots,chopped,,auto
92,4,1 inch Ginger - chopped,1,inch,Ginger,chopped,,reviewed
92,5,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
92,6,2 Dry Red Chilli,2,,Dry Red Chilli,,Dry,auto
92,7,2 tablespoon Fresh coconut - grated,2,tablespoon,Fresh coconut,grated,Fresh,auto
92,8,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
92,9,Salt - to taste,nan,,Salt,,,reviewed
