recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,corrected_name,corrected_qty,corrected_unit,corrected_state
133,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
133,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
133,16,1/2 tablespoon Ginger - paste,name;state,Ginger,Ginger - paste,1/2,1/2,tablespoon,tablespoon,paste,,,,Ginger, 1/2,tablespoon,paste
133,17,1/2 tablespoon Garlic - paste,name;state,Garlic,Garlic - paste,1/2,1/2,tablespoon,tablespoon,paste,,,,Garlic, 1/2,tablespoon,paste
133,18,5 - 6 Green Chillies,qty;state,Green Chillies,Green Chillies,5-6,5,,,6 Green Chillies,,,,Green Chillies,5.5,,
133,19,2 - 3 Tomatoes - finely chopped,qty,Tomatoes,Tomatoes,2-3,2,,,3 Tomatoes - finely chopped,finely chopped,,,Tomatoes,2.5,,
133,20,1 Fresh coconut - handful,unit;state,Fresh coconut,Fresh coconut,1,1,,handful,handful,,,,Fresh coconut,1,handful,
133,21,1 Coriander (Dhania) Leaves - handful,unit;state,Coriander (Dhania) Leaves,Coriander (Dhania) Leaves,1,1,,Leaf handful,handful,,,,Coriander (Dhania) Leaves,1,handful,
133,24,6 - 8 Cashew nuts - soaked in 2 tablespoons water,qty,Cashew nuts,Cashew nuts,6-8,6,,,8 Cashew nuts - soaked in 2 tablespoons water,soaked in 2 tablespoons water,,,Cashew nuts,7,,
133,26,Sunflower Oil - vegetable oil,name;state,Sunflower Oil,Sunflower Oil - vegetable oil,,,,,vegetable oil,,,,Sunflower Oil,,,
133,27,1 Salt - to taste,state,Salt,Salt,1,1,,,to taste,,to taste,,Salt,,,
133,28,1 Cashew nuts - handful,unit;state,Cashew nuts,Cashew nuts,1,1,,handful,handful,,,,Cashew nuts,1,handful,
133,29,1 Raisins - handful,unit;state,Raisins,Raisins,1,1,,handful,handful,,,,Raisins,1,handful,
134,8,Water - as required,state,Water,Water,,,,,as required,,as required,,Water,,,
134,9,Sunflower Oil - to deep fry,state,Sunflower Oil,Sunflower Oil,,,,,to deep fry,,to deep fry,,Sunflower Oil,,,
135,8,10 Shallots - whole or cut into half,state,Shallots,Shallots,10,10,,,whole or cut into half,,whole or cut into half,,Shallots,10,,whole or halved
135,9,1-1/2 cup Tamarind Water,qty,Tamarind Water,Tamarind Water,1-1/2,1/2,cup,cup,,,,,Tamarind Water,1 1/2,cup,
135,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
135,22,1 Curry leaves - few,state,Curry leaves,Curry leaves,1,1,,,few,,,,Curry leaves,1,,
136,8,1 inch Ginger - finely chopped,qty;unit,Ginger,Ginger,1,,inch,,finely chopped,finely chopped,,,Ginger,1,inch,
136,12,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
137,4,20 grams Tamarind - lemon sized,state,Tamarind,Tamarind,20,20,grams,gram,lemon sized,,lemon sized,,Tamarind,20,grams,lemon sized
137,13,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,Coconut Oil,,,
137,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
139,12,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
140,1,2 cups Drumstick Leaves (Moringa/Murungai Keerai) - or Murrungai Keerai,name;state,Drumstick Leaves (Moringa/Murungai Keerai),Drumstick Leaves Murungai Keerai; Murrungai Keerai,2,2,cups,cup,or Murrungai Keerai,,Moringa,,Drumstick Leaves (Moringa/Murungai Keerai),2,cups,
140,3,1 inch Ginger - chopped,qty;unit,Ginger,Ginger,1,,inch,,chopped,chopped,,,Ginger,1,inch,
140,6,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
140,7,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,Coconut Oil,,,
141,5,1 teaspoon Ginger - paste,name;state,Ginger,Ginger - paste,1,1,teaspoon,teaspoon,paste,,,,Ginger,,teaspoon,paste
141,13,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
142,8,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
143,2,2-1/2 cups Water,qty,Water,Water,2-1/2,1/2,cups,cup,,,,,Water,2 1/2,cups,
143,3,8 Garlic - cloves,unit;state,Garlic,Garlic,8,8,,cloves,cloves,,,,Garlic,8,clove,
143,6,1-1/2 teaspoon Red Chilli powder,qty,Red Chilli powder,Red Chilli powder,1-1/2,1/2,teaspoon,teaspoon,,,,,Red Chilli powder,1 1/2,teaspoon,
144,11,Salt - as required,state,Salt,Salt,,,,,as required,,as required,,Salt,,,
145,1,1.5 cups Red Black Eyed Beans (Azuki),qty,Red Black Eyed Beans (Azuki),Red Black Eyed Beans (Azuki),1.5,3/2,cups,cup,,,,,Red Black Eyed Beans (Azuki),1 1/2,cups,
145,6,Coriander (Dhania) Leaves - few sprigs,qty;unit;state,Coriander (Dhania) Leaves,Coriander (Dhania) Leaves,,few,,sprigs,few sprigs,,Leaves,,Coriander (Dhania) Leaves,,sprig,
145,8,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
