recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
133,29,1 Raisins - handful,handful,,,,,,
134,8,Water - as required,as required,,as required,,,as required,
134,9,Sunflower Oil - to deep fry,to deep fry,,to deep fry,,,to deep fry,
135,8,10 Shallots - whole or cut into half,whole or cut into half,,whole or cut into half,,whole or cut into half,,
135,14,Salt - to taste,to taste,,to taste,,,to  taste,
135,22,1 Curry leaves - few,few,,,,,,
136,12,Salt - to taste,to taste,,to taste,,,to taste,
137,4,20 grams Tamarind - lemon sized,lemon sized,,lemon sized,,,lemon sized,size
137,13,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
137,14,Salt - to taste,to taste,,to taste,,,to taste,
139,12,Salt - to taste,to taste,,to taste,,,to taste,
140,1,2 cups Drumstick Leaves (Moringa/Murungai Keerai) - or Murrungai Keerai,or Murrungai Keerai,,Moringa,,,,
140,6,Salt - to taste,to taste,,to taste,,,Murrungai Keerai,sub
140,7,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
141,5,1 teaspoon Ginger - paste,paste,,,,,ginger paste,
141,13,Salt - to taste,to taste,,to taste,,,Murrungai Keerai,
142,8,Salt - to taste,to taste,,to taste,,,Murrungai Keerai,
143,3,8 Garlic - cloves,cloves,,,,,,
144,11,Salt - as required,as required,,as required,,,as required,
145,6,Coriander (Dhania) Leaves - few sprigs,few sprigs,,Leaves,,,few sprigs,amt
145,8,Salt - to taste,to taste,,to taste,,,to taste,
