recipe_id,line_no,raw_line,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,flag_name_disagree,flag_qty_disagree,flag_unit_disagree,corrected_name,corrected_qty,corrected_unit
41,4,1 to 2 Green Chillies - slit lengthwise (use as per spice tolerance) 1/2 tablespoon kashmiri chili powder (use as per spice tolerance),Green Chillies,Green Chillies; kashmiri chili powder,1to2,1,,,TRUE,TRUE,FALSE,Green Chilies,1-2,
41,11,Coconut Oil - or vegetable oil as required,Coconut Oil,Coconut Oil; vegetable oil,,,,,TRUE,FALSE,FALSE,Coconut Oil,,
42,9,Curry leaves - a sprig,Curry leaves,Curry leaves,,1,,sprig,FALSE,TRUE,TRUE,Curry Leaves,1    ,sprig
43,3,1 sprig curry leaf,curry leaf,curry leaves,1,1,sprig,sprig,TRUE,FALSE,FALSE,Curry leaf,1    ,sprig
46,5,1 3/4 cup Coconut milk,3/4 cup Coconut milk,3/4 cup Coconut milk,1,4-Jul,,cup,FALSE,TRUE,TRUE,Coconut milk ,1 3/4,cup
47,8,1 inch Ginger,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
47,10,1 inch Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,TRUE,TRUE,TRUE,Cinnamon Stick (Dalchini),1    ,inch
47,11,4 Cloves (Laung),(Laung),Cloves,4,4,Cloves,,TRUE,FALSE,TRUE,Cloves (Laung),4    ,
48,2,3 1/2 cups Water,1/2 cups Water,1/2 cups Water,3,2-Jul,,cup,FALSE,TRUE,TRUE,Water,3 1/2,cups
48,4,1 teaspoon Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,teaspoon,teaspoon Pod,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds,1    ,teaspoon
49,1,2 Mooli/ Mullangi (Radish) - julienned and steamed,Mooli/ Mullangi (Radish),Mooli/Mullangi (Radish),2,2,,,TRUE,FALSE,FALSE,Mooli/Mullangi (Radish),2    ,
49,10,1 inch Ginger,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
51,2,1-1/2 cups Water,Water,Water,1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,water,2 1/2,cups
51,4,1 inch Ginger - finely chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
51,5,3 Garlic - cloves,Garlic,Garlic,3,3,,cloves,FALSE,FALSE,TRUE,Garlic,3    ,cloves
53,5,1/2 inch Ginger,Ginger,Ginger,2-Jan,,inch,,FALSE,TRUE,TRUE,Ginger, 1/2,inch
56,4,1-1/2 teaspoons Salt,Salt,Salt,1/1/2002,2-Jan,teaspoons,teaspoon,FALSE,TRUE,FALSE,salt,1 1/2,teaspoons
56,8,1 inch Ginger - crushed or a coarse paste,Ginger,Ginger; crushed a coarse paste,1,,inch,,TRUE,TRUE,TRUE,Ginger,1    ,inch
56,9,6 cloves Garlic - crushed or a coarse paste,Garlic,Garlic; crushed a coarse paste,6,6,cloves,cloves,TRUE,FALSE,FALSE,Garlic,6    ,cloves
58,8,2 Cardamom (Elaichi) Pods/Seeds - powdered,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,2,2,,Pods,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds (powdered),2    ,
59,1,500 grams Sardine fish - (mathi,Sardine fish,Sardine fish - mathi,500,500,grams,gram,TRUE,FALSE,FALSE,Sardine Fish - mati,500    ,grams
59,4,1-1/2 teaspoon Ginger Garlic Paste,Ginger Garlic Paste,Ginger Garlic Paste,1/1/2002,2-Jan,teaspoon,teaspoon,FALSE,TRUE,FALSE,Ginger Garlic Paste,1 1/2,teaspoon
59,9,1-1/2 teaspoon Black pepper powder,Black pepper powder,Black pepper powder,1/1/2002,2-Jan,teaspoon,teaspoon,FALSE,TRUE,FALSE,Black pepper powder,1 1/2,teaspoon
