recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,verdict,corrected_name,corrected_qty,corrected_unit,corrected_state
129,16,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
130,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
131,2,1/2 cup Bajra Flour ( Pearl Millet),name,Bajra Flour ( Pearl Millet),Bajra Flour (Pearl Millet),1/2,1/2,cup,cup,,,,,ok,,,,
131,5,Salt - as required,state,Salt,Salt,,,,,as required,,as required,,ok,,,,as required
131,6,Water - as required,state,Water,Water,,,,,as required,,as required,,ok,,,,as required
132,2,1 tablespoon Ghee - for dough,state,Ghee,Ghee,1,1,tablespoon,tablespoon,for dough,,,for dough,ok,,,,
132,7,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
133,2,6 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,6,6,,Pods,,,,,ok,,,,
133,3,6 Cloves (Laung),name;unit,(Laung),Cloves,6,6,Cloves,,,,(Laung),,ok,,,,(Laung)
133,4,1 Cinnamon Stick (Dalchini),name,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,1,,,,,,,ok,,,,
133,8,3-4 tablespoons Lemon juice,qty,Lemon juice,Lemon juice,3-4,3,tablespoons,tablespoon,,,,,ok,,,,
133,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
133,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
133,16,1/2 tablespoon Ginger - paste,name;state,Ginger,Ginger - paste,1/2,1/2,tablespoon,tablespoon,paste,,,,ok,,,,
133,17,1/2 tablespoon Garlic - paste,name;state,Garlic,Garlic - paste,1/2,1/2,tablespoon,tablespoon,paste,,,,ok,,,,
133,18,5 - 6 Green Chillies,qty;state,Green Chillies,Green Chillies,5-6,5,,,6 Green Chillies,,,,ok,,,,
133,19,2 - 3 Tomatoes - finely chopped,qty,Tomatoes,Tomatoes,2-3,2,,,3 Tomatoes - finely chopped,finely chopped,,,ok,,,,
133,20,1 Fresh coconut - handful,unit;state,Fresh coconut,Fresh coconut,1,1,,handful,handful,,,,ok,,,,
133,21,1 Coriander (Dhania) Leaves - handful,unit;state,Coriander (Dhania) Leaves,Coriander (Dhania) Leaves,1,1,,Leaf handful,handful,,,,ok,,,,
133,24,6 - 8 Cashew nuts - soaked in 2 tablespoons water,qty,Cashew nuts,Cashew nuts,6-8,6,,,8 Cashew nuts - soaked in 2 tablespoons water,soaked in 2 tablespoons water,,,ok,,,,
133,26,Sunflower Oil - vegetable oil,name;state,Sunflower Oil,Sunflower Oil - vegetable oil,,,,,vegetable oil,,,,ok,,,,
133,27,1 Salt - to taste,state,Salt,Salt,1,1,,,to taste,,to taste,,ok,,,,to taste
133,28,1 Cashew nuts - handful,unit;state,Cashew nuts,Cashew nuts,1,1,,handful,handful,,,,ok,,,,
133,29,1 Raisins - handful,unit;state,Raisins,Raisins,1,1,,handful,handful,,,,ok,,,,
134,8,Water - as required,state,Water,Water,,,,,as required,,as required,,ok,,,,as required
134,9,Sunflower Oil - to deep fry,state,Sunflower Oil,Sunflower Oil,,,,,to deep fry,,to deep fry,,ok,,,,to deep fry
135,8,10 Shallots - whole or cut into half,state,Shallots,Shallots,10,10,,,whole or cut into half,,whole or cut into half,,ok,,,,whole or cut into half
135,9,1-1/2 cup Tamarind Water,qty,Tamarind Water,Tamarind Water,1-1/2,1/2,cup,cup,,,,,ok,,,,
135,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
135,22,1 Curry leaves - few,state,Curry leaves,Curry leaves,1,1,,,few,,,,ok,,,,
136,8,1 inch Ginger - finely chopped,qty;unit,Ginger,Ginger,1,,inch,,finely chopped,finely chopped,,,ok,,,,
136,12,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
137,4,20 grams Tamarind - lemon sized,state,Tamarind,Tamarind,20,20,grams,gram,lemon sized,,lemon sized,,ok,,,,lemon sized
